Sr.no,News
1,Colombia expels Argentine diplomats after Milei calls Petro ‘terrorist murderer’ in CNN interview
2,What to expect during April’s total solar eclipse
3,"Sexual violence ‘largely unpunished’ in Haiti, UN says"
4,"Whether you’re using a fancy camera or a smartphone, here’s how to take great eclipse photos"
5,Haiti extends state of emergency as intruders break into key port terminal
6,Why axolotls seem to be everywhere — except in the one lake they call home
7,"Brazil’s ex-president Bolsonaro presented coup plot to military leaders, court documents allege"
8,"Inside Haiti: A lucky few escape, while millions face gang rule, hunger and chaos"
9,Haiti’s leader to resign as gangs run rampant through country engulfed in crisis
10,Haiti’s prime minister is resigning. Will that bring calm to the gang-ravaged country?
11,Four children in Haiti describe harrowing stories of survival
12,Grenada charges prison escapees with murder of American couple missing since alleged yacht hijacking
13,Argentina’s Milei bans gender-inclusive language in official documents
14,"Haiti’s prime minister lands in Puerto Rico, official says, as gangs rampage at home"
15,Haiti declares state of emergency after mass prison escape
16,Gunfire near Haiti airport disrupts flights for second day
17,"Former Canadian Prime Minister Brian Mulroney dies at 84, according to media reports"
18,Brazil’s former President Jair Bolsonaro denies harassing whale
19,Gigantic new snake species discovered in Amazon rainforest
20,Dozens feared dead and others trapped following gold mine collapse in Venezuela
21,Widow of Haiti’s former president among those indicted over his assassination
22,Ecuador’s most notorious gang leader lived ‘like a king’ while locked up. His jailbreak shines a light on the country’s lawless prisons
