Sr.no,News
1,A town has imposed a curfew on its children as it grapples with youth crime
2,A dog and a bird formed an unlikely friendship. Their separation has infuriated followers
3,Blueberry grown in Australia breaks record as world’s heaviest
4,First top-flight male soccer star to publicly identify as gay proposes to partner on home pitch
5,United Airlines reports fifth flight incident in a week as jet turns back due to ‘maintenance issue’
6,Australian police find bodies in search for missing couple
7,Photographer accuses Taylor Swift’s father of assault in Australia
8,"Lowitja O’Donoghue, trailblazer for indigenous Australian rights, dead at 91"
9,16-year-old Taylor Swift fan killed on way to Australia concert
10,Fears grow for runner missing in dense Australian bushland for six days
11,Rare Sydney Harbour shark attack puts swimmers on edge
12,"These small male marsupials give up sleep for sex, then die after intense mating season, study finds"
13,Deadly fire ants are forming rafts to cross Australian flood waters
14,Australian police fear fugitive murder suspect may escape prosecution – in Greece
15,Australian court convicts businessman of planning political interference for China in legal first
16,Mother wrongly jailed for 20 years over the death of her four children has convictions quashed
