Sr.no,News
1,Pope Francis calls for Gaza ceasefire as he leads Easter Mass following health concerns
2,How ISIS has Europe and the US in sights after deadly Moscow attack
3,"Ukraine’s election day dawns with no vote in sight and little appetite for one – for now, anyway"
4,Suspect arrested after hostage drama unfolds in Netherlands town
5,Pope Francis skips Good Friday event at last minute ‘to preserve health’ for Easter rituals
6,Pope Francis breaks with tradition in annual ritual by washing the feet of women only
7,Dachshunds under threat as Germany proposes ban on breeding
8,France to sue student it says falsely accused principal of forcibly removing headscarf
9,"Russian invasion of Ukraine: Latest news, analysis and videos"
10,Lukashenko undermines Putin’s Ukraine claim on Moscow concert hall attack
11,"Who are ISIS-K, the group linked to the Moscow concert hall terror attack?"
12,Russia’s political class is taking a dark and vengeful turn
13,Russia says suspects in Crocus concert hall attack detained as death toll rises to 137
14,Ukraine says it hit two Russian naval vessels in major attack on Crimea
15,ISIS claims responsibility for attack at Moscow-area concert venue that left at least 60 dead
16,Pope Francis skips homily at Palm Sunday Mass in rare move
17,‘Not the right man for the job’: What was behind Irish PM’s shock resignation?
18,Poland demands explanation after accusing Russia of violating its airspace
19,"Appalling Moscow terror attack is a blow to Putin, who promised Russia security"
20,"Russia launches likely largest-ever attack on Ukraine’s energy system, Ukrainian official says"
21,"Italian Prime Minister Giorgia Meloni seeking damages of $108,200 in deepfake porn trial"
22,Germany arrests suspected ISIS supporters accused of planning terror attack on Swedish parliament
23,"Thousands shelter from Kyiv missile barrage, hours after Biden’s national security adviser visits"
