Sr.no,News
1,India summons US State Department official over call for fair legal treatment of arrested opposition leader
2,Court ruling effectively outlaws Islamic schools in India’s most populous state
3,Delhi chief arrested as opposition party alleges ‘huge conspiracy’ ahead of Indian election
4,Ed Sheeran duet with Punjabi star Diljit Dosanjh delights Mumbai – and lights up India’s social media
5,Date set for largest democratic election in human history
6,India joins select group of nations able to fire multiple warheads on a single ICBM
7,CNN speaks to a Walk for Freedom participant helping fight modern-day slavery in India
8,Seven men arrested in India for alleged gang-rape of tourist
9,India arrests three men for alleged gang-rape of foreign tourist
10,A frog in India has a mushroom sprouting out of it. Researchers have never seen anything like it
11,Why marketing to ‘pure vegetarians’ landed this Indian delivery giant in a pickle
12,A coal billionaire is building the world’s biggest clean energy plant and it’s five times the size of Paris
13,What happened when the world’s most populous nation turned off TikTok
14,"China’s exports jump thanks to demand from India, Russia and other emerging markets"
15,Taiwan wants to hire Indian workers.  What’s skin color or religion got to do with it?
16,Looking ahead to the T20 World Cup with the West Indian icon Daren Sammy
17,"Neeraj Chopra has gained unlikely stardom in India. If he wins another Olympic gold, he will be ‘treated like God’"
18,England legend looks ahead to 4th Test against India
19,"T20 Cricket World Cup: USA, West Indies to host tournament in June"
20,Sumit Nagal out of Australian Open after making history for India
